codigoEgger,nombreEgger,categoria,tipo,espesor,codigoDiac,descripcionDiac,precio
F205 ST9,Pietra Grigia Antracita,egger-reproducciones-materia,mdf,18,1419658,EDK MDF F205ST9 P Grigia antr 18mmx2.60m1419658,129259
F416 ST10,Textil Beige,egger-reproducciones-materia,melamina,18,1419177,EDK AGL F416ST10 Textil beigex18mm 1419177,100177
F416 ST10,Textil Beige,egger-reproducciones-materia,mdf,18,1419651,EDK MDF F416ST10 Textil beige 18mmx2.60m1419651,131729
F417 ST10,Textil Gris,egger-reproducciones-materia,mdf,18,1419700,EDK MDF F417ST10 Textil gris 18mmx2.60m1419700,131729
F424 ST10,Lino Topo,egger-reproducciones-materia,mdf,18,1419693,EDK MDF F424ST10 Lino topo 18mmx2.60m1419693,135853
F433 ST10,Lino Antracita,egger-reproducciones-materia,mdf,18,1419686,EDK MDF F433ST10 Lino antr 18mm x2.60M1419686,122408
F462 ST20,Metallic Azul Indigo,egger-reproducciones-materia,mdf,18,1419679,EDK MDF F462ST20 MetalAzul indigo18mmx2.60m1419679,149639
F463 ST20,Metallic Gris Platino,egger-reproducciones-materia,mdf,18,1419616,EDK MDF F463ST20 Metalic gris pl 18mmx2.60m1419616,129259
F500 ST20,Metallic Inox,egger-reproducciones-materia,mdf,18,1419609,EDK MDF F500ST20 Metalic inox 18mmx2.60m1419609,146096
F509 ST9,Aluminio,egger-reproducciones-materia,mdf,18,1419602,EDK MDF F509ST9 Aluminio 18mmx2.60m1419602,122408
F637 ST10,Chromix Blanco,egger-reproducciones-materia,mdf,18,1419595,EDK MDF F637ST10 Chromix bco 18mmx2.60m1419595,131729
F638 ST10,Chromix Plata,egger-reproducciones-materia,mdf,18,1419644,EDK MDF F638ST10 Chromix plata 18mmx2.60m1419644,135853
F642 ST10,Chromix Bronce,egger-reproducciones-materia,mdf,18,1419637,EDK MDF F642ST10 Chromix bronce 18mmx2.60m1419637,129259
F784 ST20,Bronce cepillado,egger-reproducciones-materia,mdf,18,1419630,EDK MDF F784ST20 Bronce cepillado18mmx2.60m1419630,149639
F823 ST10,Concreto Cefalu Blanco,egger-reproducciones-materia,mdf,18,1419623,EDK MDF F823ST10 Hormigon cefalu bco 18mmx2.60m,129259
H1122 ST22,Whitewood,egger-reproducciones-madera,melamina,18,1419405,EDK AGL H1122ST22 Whiterwood 18mmx2.60m1419405,100212
H1122 ST22,Whitewood,egger-reproducciones-madera,mdf,18,1419917,EDK MDF H1122ST22 Whiterwood 18mmx2.60m1419917,129258
H1123 ST22,Graphitewood,egger-reproducciones-madera,melamina,18,1419467,EDK AGL H1123ST22 Graphitewood 18mmx2.60m 1419467,106846
H1123 ST22,Graphitewood,egger-reproducciones-madera,mdf,18,1419910,EDK MDF H1123ST22 Graphitewood 18mmx2.60m1419910,135853
H1137 ST12,Roble Sorano Negro-Marron,egger-reproducciones-madera,melamina,18,1419457,EDK AGL H1137ST12 R Sorano ne-ma18mmx2.60m1419457,100212
H1137 ST12,Roble Sorano Negro-Marron,egger-reproducciones-madera,mdf,18,1419903,EDK MDF H1137ST12 R sorano ne/m 18mmx2.60m1419903,129259
H1146 ST10,Roble Bardolino Gris,egger-reproducciones-madera,mdf,18,1419840,EDK MDF H1146ST10 R Bardolino gr 18mmx2.60m1419840,119960
H1180 ST37,Roble Halifax Natural,egger-reproducciones-madera,melamina,18,1045290,EDK MDP H1180ST37 R Halifax nat 18mm2.8m 1157031,221251
H1181 ST37,Roble Halifax Tabaco,egger-reproducciones-madera,melamina,18,1063953,EDK MDP H1181ST37 R Halifax tab 18mm 2.80m 1157032,221251
H1199 ST12,Roble Termo Negro,egger-reproducciones-madera,melamina,18,1419437,EDK AGL H1199ST12 R termo negro18mmx2.60m  1419437,94928.8
H1199 ST12,Roble Termo Negro,egger-reproducciones-madera,mdf,18,1419833,EDK MDF H1199ST12 R termo negro 18mmx2.60m1419833,122408
H1251 ST19,Robinia Branson Marron Natural,egger-reproducciones-madera,mdf,18,1419826,EDK MDF H1251ST19 Rob.Brans mar.nat18mmx2.60m,149639
H1252 ST19,Robinia Branson Gris Beige,egger-reproducciones-madera,mdf,18,1419819,EDK MDF H1252ST19 Rob.Brans gr/beig18mmx2.60m,129259
H1253 ST19,Robinia Branson Marron Trufa,egger-reproducciones-madera,melamina,18,1419335,EDK AGL H1253ST19 Rob Brans mar/ trufa 18mmx2.60,99225.4
