codigo,nombre,tipo,espesor,placaLargo,placaAncho,precioPlaca,codigoDiac,descripcionDiac
,Ench Cedro Rayado Cruz,enchapado,55,2600,1830,713593,2012052601832455,Ench Euca MDF Cedro Rayado Ench.Cruz55mm2.60x1.83m
,Crudo Pino - 1324500 1324311,mdf,3,1830,2600,21054.6,1324500,MDF Crudo Pino 3mm 1.83x2.60m - 1324500 1324311
,Crudo Pino - 1324486,mdf,5.5,1830,2600,31828,201220183260255,MDF Crudo Pino 5.5mm 1.83x2.60m - 1324486
,Crudo TRU,mdf,5.5,2030,2600,37240.2,1351888,MDF Crudo TRU 5.5mm 2.03x2.60m
,Crudo Pino - 1324483,mdf,9,1830,2600,40600.9,201220183260209,MDF Crudo Pino 9mm 1.83x2.60m - 1324483
,Ench Cerejeira,mdf,9,2600,1830,204897,20120526018332610,Ench Euca MDF Cerejeira 9mm 2.60x1.83m
,Ench Teka Cia c/chguat. 3ra,mdf,9,2600,1830,131492,2012052601833217,Ench Euca MDF Teka Cia c/chguat.9mm 3ra2.60x1.83m
,Nova,mdf,9,1830,3660,60656.2,201204183366009,MDF Nova 09 mm. 1.83x3.66m.
,Ench C Rayado C/C Guat,mdf,10,2600,1830,124651,2012052601832410,Ench Euca MDF C Rayado C/C Guat.10mm2.60x1.83m
,Ench Jequetiba 2.60/,mdf,10,2700,1830,154338,2012052601832510,Ench Euca MDF Jequetiba 10mm 2.60/2.70x1.83m LN
,Ench Loro Negro,mdf,10,2600,1830,117567,2012052601833209,Ench Euca MDF Loro Negro 10mm 2.60x1.83m
,Ench R Eslavonia C/C Guat,mdf,10,2600,1830,139455,2012052601832910,Ench Euca MDF R Eslavonia C/C Guat 10mm2.60x1.83m
,Ench Toona,mdf,10,2500,1830,141852,2012052601833210,Ench Euca MDF Toona 10mm 2.50x1.83m  LN
,Crudo Pino - 1324480,mdf,12,1830,2600,48230.6,201220183260212,MDF Crudo Pino 12mm 1.83x2.60m - 1324480
